Job Result,Job Creation Time,Job Completion Time,Product Name,Cores,Storage (GB)
SUCCESS,7/19/19 1:36,7/19/19 2:48,Product 3,6,40
SUCCESS,7/19/19 1:33,7/19/19 2:45,Product 3,6,40
FAILURE,7/18/19 17:09,7/18/19 17:31,Product 3,6,40
FAILURE,7/18/19 17:08,7/18/19 17:32,Product 3,6,40
SUCCESS,7/18/19 14:55,7/18/19 15:38,Product 5,14,960
SUCCESS,7/17/19 13:23,7/17/19 14:11,Product 5,14,960
SUCCESS,7/15/19 14:59,7/15/19 15:45,Product 5,14,960
SUCCESS,7/15/19 11:45,7/15/19 12:28,Product 2,16,960
SUCCESS,7/12/19 16:22,7/12/19 16:33,Product 1,120,19200
FAILURE,7/12/19 15:48,7/12/19 15:58,Product 1,120,19200
SUCCESS,7/12/19 14:52,7/12/19 16:06,Product 3,6,40
SUCCESS,7/12/19 14:51,7/12/19 16:02,Product 3,6,40
SUCCESS,7/12/19 14:50,7/12/19 16:05,Product 3,6,40
SUCCESS,7/12/19 14:48,7/12/19 16:03,Product 3,6,40
SUCCESS,7/12/19 14:48,7/12/19 16:02,Product 3,6,40
SUCCESS,7/12/19 14:47,7/12/19 15:59,Product 3,6,40
SUCCESS,7/12/19 14:47,7/12/19 16:03,Product 3,6,40
SUCCESS,7/12/19 14:46,7/12/19 16:03,Product 3,6,40
SUCCESS,7/12/19 14:44,7/12/19 15:59,Product 3,6,40
SUCCESS,7/12/19 14:43,7/12/19 15:53,Product 3,6,40
FAILURE,7/12/19 0:59,7/12/19 1:53,Product 1,120,19200
FAILURE,7/12/19 0:02,7/12/19 0:13,Product 1,120,19200
FAILURE,7/11/19 22:37,7/11/19 22:41,Product 3,6,40
FAILURE,7/11/19 20:51,7/11/19 20:55,Product 3,6,40
CANCELLED,7/11/19 13:25,7/11/19 13:28,Product 2,16,960
FAILURE,7/10/19 20:23,7/10/19 21:08,Product 1,120,19200
SUCCESS,7/10/19 20:18,7/10/19 21:28,Product 3,6,40
FAILURE,7/10/19 20:17,1/1/70 0:00,Product 3,6,40
SUCCESS,7/10/19 20:17,7/10/19 21:26,Product 3,6,40
FAILURE,7/10/19 20:11,7/10/19 20:13,Product 3,6,40
FAILURE,7/10/19 20:10,7/10/19 20:13,Product 3,6,40
FAILURE,7/10/19 18:33,7/10/19 18:37,Product 3,14,100
FAILURE,7/10/19 18:32,7/10/19 18:36,Product 3,14,100
FAILURE,7/10/19 17:34,7/10/19 18:12,Product 1,120,19200
FAILURE,7/10/19 17:14,1/1/70 0:00,Product 1,120,19200
SUCCESS,7/10/19 15:03,7/10/19 15:48,Product 5,14,960
CANCELLED,7/10/19 14:09,7/10/19 14:25,Product 2,16,960
SUCCESS,7/10/19 14:08,7/10/19 14:56,Product 5,14,960
FAILURE,7/10/19 11:59,7/10/19 12:44,Product 5,14,960
FAILURE,7/10/19 5:29,7/10/19 6:14,Product 5,14,960
FAILURE,7/10/19 3:45,7/10/19 3:50,Product 2,16,960
FAILURE,7/10/19 1:11,7/10/19 1:15,Product 3,6,40
FAILURE,7/9/19 21:26,7/9/19 22:19,Product 1,120,19200
SUCCESS,7/9/19 21:02,7/9/19 22:09,Product 4,120,9600
FAILURE,7/9/19 20:59,1/1/70 0:00,Product 4,120,9600
FAILURE,7/9/19 20:40,7/9/19 21:55,Product 1 ,288,2400
CANCELLED,7/9/19 17:59,7/9/19 18:01,Product 2,16,960
FAILURE,7/9/19 16:33,7/9/19 16:36,Product 3,6,40
SUCCESS,7/9/19 16:32,7/9/19 17:07,Product 1 ,48,2400
SUCCESS,7/9/19 13:10,7/9/19 14:17,Product 3,6,40
SUCCESS,7/9/19 13:09,7/9/19 14:16,Product 3,6,40
SUCCESS,7/9/19 13:08,7/9/19 14:16,Product 3,6,40
FAILURE,7/9/19 3:41,7/9/19 3:45,Product 3,6,40
FAILURE,7/9/19 3:41,7/9/19 3:45,Product 3,6,40
SUCCESS,7/8/19 22:23,7/8/19 23:07,Product 5,14,960
FAILURE,7/8/19 21:12,7/8/19 21:15,Product 3,6,40
SUCCESS,7/8/19 21:11,7/8/19 21:47,Product 1 ,48,2400
SUCCESS,7/8/19 19:33,7/8/19 20:09,Product 1 ,48,2400
FAILURE,7/8/19 17:23,7/8/19 17:27,Product 1 ,48,2400
FAILURE,7/8/19 11:05,7/8/19 11:09,Product 3,6,40
SUCCESS,7/8/19 11:05,7/8/19 11:54,Product 5,14,960
